ⲁⲗⲫⲁⲓⲟⲥ	ⲁⲗⲫⲁⲓⲟⲥ	person	Alphaeus	1
ⲁⲙⲓⲛⲁⲇⲁⲃ	ⲁⲙⲓⲛⲁⲇⲁⲃ	person	Amminadab	2
ⲁⲙⲛⲧⲉ	ⲁⲙⲛⲧⲉ	place	Duat	71
ⲁⲛⲁⲛⲓⲁⲥ	ⲁⲛⲁⲛⲓⲁⲥ	person	Ananias of Damascus	1
ⲁⲛⲇⲣⲉⲁⲥ	ⲁⲛⲇⲣⲉⲁⲥ	person	Andrew the Apostle	4
ⲁⲛⲇⲣⲉⲁⲥ ⲡ ⲥⲟⲛ ⲛ ⲥⲓⲙⲱⲛ	ⲁⲛⲇⲣⲉⲁⲥ	person	Andrew the Apostle	1
ⲁⲛⲇⲣⲉⲁⲥ ⲡⲉϥ ⲥⲟⲛ	ⲁⲛⲇⲣⲉⲁⲥ	person	Andrew the Apostle	1
ⲁⲛⲑⲉⲙⲓⲟⲥ	ⲁⲛⲑⲉⲙⲓⲟⲥ	person	Anthemius of Tralles	1
ⲁⲛⲛⲁ	ⲁⲛⲛⲁ	person	Hannah (biblical figure)	1
ⲁⲛⲛⲁ ⲧ ϣⲉⲉⲣⲉ ⲙ ⲫⲁⲛⲟⲩⲏⲗ	ⲁⲛⲛⲁ	person	Anna the Prophetess	1
ⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ ⲛⲓⲙ	ⲁⲛⲧⲓⲭⲣⲓⲥⲧⲟⲥ	person	Antichrist	1
ⲁⲡⲁ ϩⲱⲣⲥⲓⲏⲥⲓ	ϩⲱⲣⲥⲓⲏⲥⲓ	person	Orsisius	1
ⲁⲡⲁ ϫⲓϫⲱⲓ	ϫⲓϫⲱⲓ	person	Sisoes the Great	5
ⲁⲡⲁ ⲁⲃⲣⲁϩⲁⲙ	ⲁⲃⲣⲁϩⲁⲙ	person	Abraham	2
