ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ⲛⲛⲁϩⲣⲛⲛⲣⲱⲙⲉ	ⲛⲛⲁϩⲣⲛ|ⲛ|ⲣⲱⲙⲉ	ⲛ|ⲛⲁϩⲣⲛ|ⲛ|ⲣⲱⲙⲉ
ⲙⲛⲛⲉⲧⲟⲩⲁⲁⲃ	ⲙⲛ|ⲛ|ⲉⲧ|ⲟⲩⲁⲁⲃ	ⲙ|ⲛ|ⲛⲉⲧⲟⲩⲁⲁⲃ
ⲉⲧϣⲱⲱⲧ	ⲉⲧ|ϣⲱⲱⲧ	ⲉ|ⲧ|ϣⲱⲱⲧ
ⲉⲧⲙⲏⲏⲧⲉ	ⲉ|ⲧ|ⲙⲏⲏⲧⲉ	ⲉⲧ|ⲙⲏⲏⲧⲉ
ⲉⲕ	ⲉⲕ	ⲉ|ⲕ
ⲛⲧⲑⲁⲗⲁⲥⲥⲁ	ⲛ|ⲧ|ⲑⲁⲗⲁⲥⲥⲁ	ⲛ|ⲧⲑⲁⲗⲁⲥⲥⲁ	ⲛⲧⲑⲁⲗⲁⲥⲥⲁ
ⲉⲧⲣⲟⲉⲓⲥ	ⲉⲧ|ⲣⲟⲉⲓⲥ	ⲉ|ⲧ|ⲣⲟⲉⲓⲥ
ⲙⲡⲉ	ⲙ|ⲡⲉ	ⲙⲡⲉ
ϩⲛⲛⲉⲧⲉⲛⲟⲩⲕ	ϩⲛ|ⲛ|ⲉⲧⲉ|ⲛⲟⲩⲕ	ϩⲛ|ⲛ|ⲉⲧⲉ|ⲛⲟⲩ|ⲕ
ⲉϫⲟⲟⲩ	ⲉ|ϫⲟ|ⲟⲩ	ⲉ|ϫⲟⲟ|ⲩ	ⲉ|ϫⲟⲟⲩ
ⲛⲧⲉϩⲓⲏ	ⲛ|ⲧⲉ|ϩⲓⲏ	ⲛⲧⲉ|ϩⲓⲏ
ⲛⲛⲉϩⲟⲟⲩ	ⲛ|ⲛⲉ|ϩⲟⲟⲩ	ⲛ|ⲛ|ⲉϩⲟⲟⲩ
ⲉⲕϩⲙⲙⲙⲁ	ⲉ|ⲕ|ϩⲙ|ⲙ|ⲙⲁ	ⲉ|ⲕ|ϩⲙ|ⲙⲙⲁ
ϩⲛⲟⲩϣⲡⲛϣⲱⲡ	ϩⲛ|ⲟⲩ|ϣⲡⲛϣⲱⲡ	ϩⲛ|ⲟⲩ|ϣⲡ|ⲛ|ϣⲱⲡ
ϩⲛⲟⲩⲙⲛⲧϣⲁⲛϩⲧⲏϥ	ϩⲛ|ⲟⲩ|ⲙⲛⲧϣⲁⲛϩⲧⲏϥ	ϩⲛ|ⲟⲩ|ⲙⲛⲧϣⲁⲛϩⲧⲏ|ϥ
ⲛϫⲟⲟⲩ	ⲛ|ϫⲟ|ⲟⲩ	ⲛ|ϫⲟⲟ|ⲩ
