ⲙⲡⲉⲕⲥⲱⲧⲙ	ⲙⲡⲉ|ⲕ|ⲥⲱⲧⲙ	ⲙ|ⲡⲉⲕ|ⲥⲱⲧⲙ
ⲥϩⲁⲓⲥⲟⲩ	ⲥϩⲁⲓⲥ|ⲟⲩ	ⲥϩⲁⲓ|ⲥⲟⲩ
ⲉⲧϭⲏⲛ	ⲉⲧ|ϭⲏⲛ	ⲉ|ⲧ|ϭⲏⲛ
ⲛⲧⲉϯⲱⲧⲉ	ⲛⲧⲉ|ϯ|ⲱⲧⲉ	ⲛⲧⲉ|ϯⲱⲧⲉ
ⲛϥϫⲟⲟⲩ	ⲛ|ϥ|ϫⲟⲟⲩ	ⲛ|ϥ|ϫⲟⲟ|ⲩ
ⲉⲧⲙⲉϩⲙⲛⲧⲥⲛⲟⲟⲩⲥ	ⲉⲧ|ⲙⲉϩⲙⲛⲧⲥⲛⲟⲟⲩⲥ	ⲉ|ⲧ|ⲙⲉϩⲙⲛⲧⲥⲛⲟⲟⲩⲥ
ⲡⲉϯⲛⲁⲁⲁϥ	ⲡⲉ|ϯ|ⲛⲁ|ⲁⲁ|ϥ	ⲡ|ⲉ|ϯ|ⲛⲁ|ⲁⲁ|ϥ
ⲡⲱϣⲥ	ⲡⲱϣ|ⲥ	ⲡⲱϣⲥ
ⲉⲥⲛⲏⲩ	ⲉ|ⲥ|ⲛⲏⲩ	ⲉ|ⲥⲛⲏⲩ
ⲉⲥⲁϩⲟⲩ	ⲉ|ⲥⲁϩⲟⲩ	ⲉ|ⲥⲁϩ|ⲟⲩ
ⲉϣⲡϩⲓⲥⲉ	ⲉ|ϣⲡϩⲓⲥⲉ	ⲉ|ϣⲡ|ϩⲓⲥⲉ
ⲛⲧⲉⲣⲟⲩⲣϩⲛⲁⲩ	ⲛⲧⲉⲣ|ⲟⲩ|ⲣ|ϩⲛⲁ|ⲩ	ⲛⲧⲉⲣ|ⲟⲩ|ⲣϩⲛⲁ|ⲩ
ϫⲉⲙⲡⲟⲩⲱϣ	ϫⲉ|ⲙ|ⲡ|ⲟⲩⲱϣ	ϫⲉ|ⲙⲡ|ⲟⲩ|ⲱϣ
ⲛⲛⲉⲛⲧⲁⲩϭⲁⲗⲱⲟⲩ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ϭⲁⲗⲱ|ⲟⲩ	ⲛ|ⲛⲉ|ⲛⲧ|ⲁ|ⲩ|ϭⲁⲗⲱ|ⲟⲩ
ⲙⲡⲉⲛⲣⲟⲟⲩϣ	ⲙ|ⲡⲉ|ⲛ|ⲣⲟⲟⲩϣ	ⲙ|ⲡⲉⲛ|ⲣⲟⲟⲩϣ
ⲙⲙⲁⲁⲩ	ⲙ|ⲙⲁⲁⲩ	ⲙⲙⲁⲁⲩ
ⲟⲩⲟⲉⲓⲕ	ⲟⲩ|ⲟⲉⲓⲕ	ⲟⲩⲟⲉⲓⲕ
ⲩⲩ	ⲩⲩ	ⲩ|ⲩ
ⲙⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲙ|ⲡ|ⲉⲧ|ⲛⲁⲛⲟⲩ|ϥ	ⲙ|ⲡⲉⲧⲛⲁⲛⲟⲩϥ
ⲉⲧⲟⲩⲧ	ⲉⲧⲟⲩⲧ	ⲉⲧ|ⲟⲩⲧ
ⲙⲡⲙⲉϩⲥⲡⲥⲛⲁⲩ	ⲙ|ⲡ|ⲙⲉϩⲥⲡⲥⲛⲁⲩ	ⲙ|ⲡ|ⲙⲉϩ|ⲥⲡ|ⲥⲛⲁⲩ
ⲁⲩⲥⲁⲛⲟⲩϣⲧ	ⲁ|ⲩ|ⲥⲁⲛⲟⲩϣⲧ	ⲁ|ⲩ|ⲥⲁⲛⲟⲩϣ|ⲧ
ⲉⲡⲱⲛⲩⲭⲟⲥ	ⲉ|ⲡⲱⲛⲩⲭⲟⲥ	ⲉⲡⲱⲛⲩⲭⲟⲥ
ⲉⲡⲉⲥϩⲁⲓ	ⲉ|ⲡⲉⲥ|ϩⲁⲓ	ⲉ|ⲡⲉ|ⲥϩⲁⲓ
ⲉⲧⲉⲧⲛⲟ	ⲉ|ⲧⲉⲧⲛ|ⲟ	ⲉⲧⲉⲧⲛ|ⲟ
ⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	ⲛ|ⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ	ⲛⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ
ⲛⲛⲁϩⲣⲙⲡϩⲟ	ⲛⲛⲁϩⲣⲙ|ⲡ|ϩⲟ	ⲛ|ⲛⲁϩⲣⲙ|ⲡ|ϩⲟ
ⲉⲛⲉⲥⲱⲟⲩ	ⲉ|ⲛⲉⲥⲱ|ⲟⲩ	ⲉⲛⲉ|ⲥⲱ|ⲟⲩ
ⲛⲁⲡϣⲁⲩ	ⲛ|ⲁ|ⲡϣⲁⲩ	ⲛⲁ|ⲡ|ϣⲁⲩ	ⲛⲁⲡϣⲁⲩ	ⲛ|ⲁ|ⲡ|ϣⲁⲩ
ⲉⲡⲉⲓⲧⲏⲙⲁ	ⲉ|ⲡⲉⲓⲧⲏⲙⲁ	ⲉⲡⲉⲓⲧⲏⲙⲁ
ⲁⲧⲉⲩⲛⲟⲩ	ⲁ|ⲧⲉ|ⲩⲛⲟⲩ	ⲁ|ⲧⲉⲩⲛⲟⲩ
ⲁⲩⲥⲟϣϥ	ⲁ|ⲩ|ⲥⲟϣ|ϥ	ⲁ|ⲩ|ⲥⲟϣϥ
ⲉϣϥⲓ	ⲉϣ|ϥⲓ	ⲉ|ϣ|ϥⲓ	ⲉ|ϣϥⲓ
ⲉⲣⲱⲛ	ⲉⲣⲱ|ⲛ	ⲉ|ⲣⲱⲛ
ⲙⲡⲉϥⲣⲗⲁⲁⲩ	ⲙ|ⲡⲉϥ|ⲣⲗⲁⲁⲩ	ⲙⲡⲉ|ϥ|ⲣⲗⲁⲁⲩ	ⲙⲡⲉ|ϥ|ⲣ|ⲗⲁⲁⲩ
ⲙⲡⲕⲁⲧⲁⲡⲉⲧⲁⲥⲙⲁ	ⲙ|ⲡ|ⲕⲁⲧⲁⲡⲉⲧⲁⲥⲙⲁ	ⲙ|ⲡ|ⲕⲁⲧⲁ|ⲡⲉⲧⲁⲥⲙⲁ
ⲙⲛⲡⲛⲟⲩⲧⲉ	ⲙⲛ|ⲡ|ⲛⲟⲩⲧⲉ	ⲙ|ⲛ|ⲡ|ⲛⲟⲩⲧⲉ
ⲛⲧⲉⲛⲫⲩⲥⲓⲥ	ⲛ|ⲧⲉⲛ|ⲫⲩⲥⲓⲥ	ⲛⲧⲉ|ⲛ|ⲫⲩⲥⲓⲥ
ⲉⲧⲛⲁϣⲱϥ	ⲉⲧ|ⲛⲁϣⲱ|ϥ	ⲉⲧ|ⲛⲁ|ϣⲱϥ
ⲉϥⲣⲡⲉⲧⲛⲁⲛⲟⲩϥ	ⲉ|ϥ|ⲣ|ⲡ|ⲉⲧ|ⲛⲁⲛⲟⲩ|ϥ	ⲉ|ϥ|ⲣ|ⲡⲉⲧⲛⲁⲛⲟⲩ|ϥ
ⲧⲃⲱ	ⲧⲃⲱ	ⲧ|ⲃⲱ
ϩⲛⲛⲉⲛⲧⲁⲛϫⲟⲟⲩ	ϩⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲛ|ϫⲟⲟ|ⲩ	ϩⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲛ|ϫⲟ|ⲟⲩ
ⲙⲡⲁϩⲟ	ⲙ|ⲡ|ⲁϩⲟ	ⲙ|ⲡⲁ|ϩⲟ
ϫⲉϯⲛⲏⲩ	ϫⲉ|ϯ|ⲛⲏⲩ	ϫⲉ|ϯⲛⲏⲩ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ	ⲙⲙⲟⲥ
ⲉⲧⲉϩⲛⲁⲓ	ⲉ|ⲧⲉ|ϩⲛⲁⲓ	ⲉⲧⲉ|ϩⲛⲁ|ⲓ
ⲥⲟϣϥ	ⲥⲟϣ|ϥ	ⲥⲟϣϥ
ⲉⲧⲣⲉϫⲡⲟ	ⲉ|ⲧⲣ|ⲉ|ϫⲡⲟ	ⲉ|ⲧⲣⲉ|ϫⲡⲟ
ⲛⲧⲁⲣⲣⲁⲧⲥⲟⲟⲩⲛ	ⲛⲧ|ⲁⲣ|ⲣⲁⲧⲥⲟⲟⲩⲛ	ⲛⲧ|ⲁ|ⲣ|ⲣⲁⲧⲥⲟⲟⲩⲛ
ⲉⲛⲉϩⲉⲛⲣⲉϥϫⲓⲟⲩⲉ	ⲉⲛⲉ|ϩⲉ|ⲛ|ⲣⲉϥϫⲓⲟⲩⲉ	ⲉ|ⲛⲉ|ϩⲉⲛ|ⲣⲉϥϫⲓⲟⲩⲉ
ⲛⲧⲟⲟⲧⲉ	ⲛⲧⲟⲟⲧ|ⲉ	ⲛ|ⲧⲟⲟⲧ|ⲉ
ⲉⲧⲃⲉϫⲉⲁⲣⲙⲉⲣⲉϩⲉⲛϣⲙⲙⲟ	ⲉⲧⲃⲉ|ϫⲉ|ⲁⲣ|ⲙⲉⲣⲉ|ϩⲉⲛ|ϣⲙⲙⲟ	ⲉⲧⲃⲉ|ϫⲉ|ⲁ|ⲣ|ⲙⲉⲣⲉ|ϩⲉⲛ|ϣⲙⲙⲟ
ⲁⲣⲧⲁϣⲟ	ⲁⲣ|ⲧⲁϣⲟ	ⲁ|ⲣ|ⲧⲁϣⲟ
[...]	[...]	...
ⲟⲩⲕⲟⲩⲛ	ⲟⲩⲕ|ⲟⲩⲛ	ⲟⲩⲕⲟⲩⲛ
ⲛ...	ⲛ|...	ⲛ...
ⲥⲛⲏⲩ	ⲥ|ⲛⲏⲩ	ⲥⲛⲏⲩ
ⲁϥϫⲟⲟⲩ	ⲁ|ϥ|ϫⲟⲟⲩ	ⲁ|ϥ|ϫⲟ|ⲟⲩ
ϫⲉⲙⲛⲧⲁⲓϩⲱⲃ	ϫⲉ|ⲙⲛ|ⲧⲁⲓ|ϩⲱⲃ	ϫⲉ|ⲙⲛⲧⲁ|ⲓ|ϩⲱⲃ
ⲟⲩⲱⲛ	ⲟⲩⲱⲛ	ⲟⲩⲱ|ⲛ
ϩⲛⲛⲉⲩϣⲟⲟⲩⲉ	ϩⲛ|ⲛⲉ|ⲩϣⲟⲟⲩⲉ	ϩⲛ|ⲛⲉⲩ|ϣⲟⲟⲩⲉ
ⲙⲛⲟⲩϩⲓⲥⲉ	ⲙⲛ|ⲟⲩ|ϩⲓⲥⲉ	ⲙ|ⲛⲟⲩ|ϩⲓⲥⲉ
ⲉⲡⲉⲥⲧⲁⲩⲣⲟⲥ	ⲉ|ⲡⲉ|ⲥⲧⲁⲩⲣⲟⲥ	ⲉⲡⲉ|ⲥⲧⲁⲩⲣⲟⲥ
ϫⲉⲙⲛϣϭⲟⲙ	ϫⲉ|ⲙⲛ|ϣϭⲟⲙ	ϫⲉ|ⲙⲛ|ϣ|ϭⲟⲙ
ϩⲛⲟⲩ	ϩⲛ|ⲟⲩ	ϩⲛⲟⲩ
ϩⲓⲧϩⲏ	ϩⲓ|ⲧ|ϩⲏ	ϩⲓⲧϩⲏ
ϫⲉⲕⲁⲁⲧ	ϫⲉ|ⲕⲁⲁ|ⲧ	ϫⲉ|ⲕⲁⲁⲧ
ϯⲧϩⲉ	ϯ|ⲧ|ϩⲉ	ϯⲧϩⲉ
ⲡⲡⲉⲧⲟⲩⲁⲁⲃ	ⲡ|ⲡⲉⲧⲟⲩⲁⲁⲃ	ⲡ|ⲡ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲙⲡϩⲏⲧ	ⲙ|ⲡ|ϩⲏⲧ	ⲙ|ⲡϩⲏⲧ
ⲉⲩϯⲉⲟⲟⲩ	ⲉ|ⲩ|ϯⲉⲟⲟⲩ	ⲉ|ⲩ|ϯ|ⲉⲟⲟⲩ
ⲡⲟⲥⲟ	ⲡⲟⲥⲟ	ⲡ|ⲟⲥⲟ
ⲛⲅϣⲛϩⲧⲏⲕ	ⲛ|ⲅ|ϣⲛϩⲧⲏ|ⲕ	ⲛ|ⲅ|ϣⲛ|ϩⲧⲏ|ⲕ
ⲧⲉⲛⲧⲁⲥⲛⲁϩⲙⲉ	ⲧ|ⲉⲛⲧ|ⲁ|ⲥ|ⲛⲁϩⲙ|ⲉ	ⲧⲉ|ⲛⲧ|ⲁ|ⲥ|ⲛⲁϩⲙⲉ
ⲉⲧϩⲓϩⲏ	ⲉ|ⲧ|ϩⲓϩⲏ	ⲉⲧ|ϩⲓϩⲏ
ϫⲉⲙⲁⲧⲁⲙⲟⲓ	ϫⲉ|ⲙⲁ|ⲧⲁⲙⲟ|ⲓ	ϫⲉ|ⲙⲁⲧⲁⲙⲟ|ⲓ
ⲛⲧⲛϫⲱ	ⲛ|ⲧⲛ|ϫⲱ	ⲛⲧ|ⲛ|ϫⲱ
ⲁϥⲛⲟϫⲧ	ⲁ|ϥ|ⲛⲟϫⲧ	ⲁ|ϥ|ⲛⲟϫ|ⲧ
ϣⲁⲉϩⲣⲁⲓ	ϣⲁ|ⲉϩⲣⲁⲓ	ϣⲁⲉϩⲣⲁⲓ
ⲙⲡⲓϩⲉ	ⲙⲡ|ⲓ|ϩⲉ	ⲙ|ⲡⲓ|ϩⲉ
ⲙⲙⲛⲧⲁϥⲧⲉ	ⲙ|ⲙⲛⲧⲁ|ϥⲧⲉ	ⲙ|ⲙⲛⲧⲁϥⲧⲉ
ϫⲉⲛⲧⲉⲩⲛⲟⲩ	ϫⲉ|ⲛ|ⲧⲉ|ⲩⲛⲟⲩ	ϫⲉ|ⲛ|ⲧ|ⲉⲩⲛⲟⲩ
ⲛⲉⲧⲁⲣⲭⲏ	ⲛⲉ|ⲧ|ⲁⲣⲭⲏ	ⲛ|ⲉⲧ|ⲁⲣⲭⲏ
ⲛⲧⲁⲛϫⲟⲟⲩ	ⲛⲧ|ⲁ|ⲛ|ϫⲟ|ⲟⲩ	ⲛⲧ|ⲁ|ⲛ|ϫⲟⲟ|ⲩ
ⲡⲁⲡⲉⲗⲉⲩⲑⲉⲣⲟⲥ	ⲡⲁ|ⲡ|ⲉⲗⲉⲩⲑⲉⲣⲟⲥ	ⲡ|ⲁⲡⲉⲗⲉⲩⲑⲉⲣⲟⲥ
ⲧⲉⲛⲧⲁⲥϫⲓϩⲁⲓ	ⲧ|ⲉⲛⲧ|ⲁ|ⲥ|ϫⲓ|ϩⲁⲓ	ⲧ|ⲉⲛⲧ|ⲁ|ⲥ|ϫⲓϩⲁⲓ
ⲙⲛⲧϭⲓⲛⲁϩⲉⲣⲁⲧⲕ	ⲙⲛ|ⲧ|ϭⲓⲛⲁϩⲉⲣⲁⲧ|ⲕ	ⲙⲛ|ⲧ|ϭⲓⲛⲁϩⲉⲣⲁⲧⲕ
ⲉⲧⲉϩⲛⲁϥ	ⲉⲧⲉ|ϩⲛⲁ|ϥ	ⲉ|ⲧⲉ|ϩⲛⲁϥ	ⲉⲧⲉ|ϩⲛⲁϥ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ	ⲙ|ⲡⲛⲟⲩⲧⲉ
ⲉϫⲱⲕ	ⲉϫⲱ|ⲕ	ⲉ|ϫⲱⲕ
ⲛⲉϥϣⲁϫⲉ	ⲛⲉ|ϥ|ϣⲁϫⲉ	ⲛⲉϥ|ϣⲁϫⲉ
ⲙⲡⲉⲩϭⲙⲡϣⲓⲛⲉ	ⲙⲡⲉ|ⲩ|ϭⲙ|ⲡ|ϣⲓⲛⲉ	ⲙ|ⲡⲉⲩ|ϭⲙⲡϣⲓⲛⲉ
ⲉⲧⲱϥ	ⲉ|ⲧⲱϥ	ⲉ|ⲧⲱ|ϥ
ϯϩⲧⲏⲕ	ϯ|ϩⲧⲏ|ⲕ	ϯϩⲧⲏ|ⲕ
ⲛϩⲏⲩ	ⲛ|ϩⲏⲩ	ⲛϩⲏ|ⲩ
ⲙⲛⲛϣⲏⲣⲉ	ⲙⲛ|ⲛ|ϣⲏⲣⲉ	ⲙⲛ|ⲛϣⲏⲣⲉ
ϯⲛⲁⲁⲁⲩ	ϯ|ⲛⲁ|ⲁⲁ|ⲩ	ϯ|ⲛⲁ|ⲁ|ⲁⲩ
ⲙⲛⲧϭⲓⲛⲱⲛϩ	ⲙⲛ|ⲧ|ϭⲓⲛ|ⲱⲛϩ	ⲙⲛ|ⲧ|ϭⲓⲛⲱⲛϩ
ϫⲉⲙⲡⲉⲓⲥⲱⲧⲙ	ϫⲉ|ⲙⲡ|ⲉⲓ|ⲥⲱⲧⲙ	ϫⲉ|ⲙ|ⲡⲉⲓ|ⲥⲱⲧⲙ
ⲡⲟⲩⲣⲟⲧ	ⲡ|ⲟⲩⲣⲟⲧ	ⲡⲟⲩⲣⲟⲧ
ⲉⲧⲉⲕⲉⲓⲣⲉ	ⲉⲧⲉ|ⲕ|ⲉⲓⲣⲉ	ⲉⲧ|ⲉ|ⲕ|ⲉⲓⲣⲉ
ⲙⲛⲧⲣⲙⲙⲁⲟ	ⲙⲛ|ⲧ|ⲣⲙⲙⲁⲟ	ⲙⲛⲧ|ⲣⲙⲙⲁⲟ
ⲙⲁⲣⲛϫⲟⲟⲩ	ⲙⲁⲣ|ⲛ|ϫⲟⲟ|ⲩ	ⲙⲁⲣ|ⲛ|ϫⲟⲟⲩ
ⲛⲧⲉⲧⲛⲣⲟⲉⲓⲥ	ⲛ|ⲧⲉⲧⲛ|ⲣⲟⲉⲓⲥ	ⲛⲧⲉⲧⲛ|ⲣⲟⲉⲓⲥ
ϫⲉⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	ϫⲉ|ⲛ|ⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ	ϫⲉ|ⲛⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ
ⲁⲓⲣⲧϩⲉ	ⲁ|ⲓ|ⲣ|ⲧ|ϩⲉ	ⲁ|ⲓ|ⲣⲧϩⲉ
ⲛϩⲣⲁϥ	ⲛ|ϩⲣⲁ|ϥ	ⲛ|ϩⲣⲁϥ
ϫⲓⲛⲧⲉⲩⲛⲟⲩ	ϫⲓⲛ|ⲧⲉ|ⲩⲛⲟⲩ	ϫⲓⲛ|ⲧ|ⲉⲩⲛⲟⲩ
ⲛϣⲁⲃⲉϩⲟ	ⲛ|ϣⲁⲃⲉ|ϩⲟ	ⲛ|ϣⲁⲃⲉϩⲟ
ⲉⲕϫⲓⲙⲏⲥⲉ	ⲉ|ⲕ|ϫⲓ|ⲙⲏⲥⲉ	ⲉ|ⲕ|ϫⲓⲙⲏⲥⲉ
ϫⲉⲛⲉϥⲟⲩⲱϣ	ϫⲉ|ⲛⲉ|ϥ|ⲟⲩⲱϣ	ϫⲉ|ⲛⲉϥ|ⲟⲩⲱϣ
ⲙⲛⲟⲩⲙⲛⲧϣⲁⲛϩⲧⲏϥ	ⲙⲛ|ⲟⲩ|ⲙⲛⲧϣⲁⲛϩⲧⲏϥ	ⲙⲛ|ⲟⲩ|ⲙⲛⲧϣⲁⲛϩⲧⲏ|ϥ
ⲛⲉϣⲱⲧ	ⲛ|ⲉϣⲱⲧ	ⲛⲉ|ϣⲱⲧ
ⲛⲛⲉⲛⲧⲁⲩⲉⲓ	ⲛ|ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ⲉⲓ	ⲛⲛⲉ|ⲛ|ⲧⲁⲩⲉ|ⲓ
ⲉⲛⲉⲛⲧⲁϥϫⲟⲟⲩ	ⲉ|ⲛ|ⲉⲛⲧ|ⲁ|ϥ|ϫⲟⲟ|ⲩ	ⲉ|ⲛ|ⲉⲛⲧ|ⲁ|ϥ|ϫⲟⲟⲩ
ⲙⲡⲁϭⲙⲡϣⲓⲛⲉ	ⲙ|ⲡⲁ|ϭⲙⲡϣⲓⲛⲉ	ⲙ|ⲡⲁ|ϭⲙ|ⲡ|ϣⲓⲛⲉ
ⲉⲡⲉϩⲟⲟⲩ	ⲉ|ⲡⲉ|ϩⲟⲟⲩ	ⲉ|ⲡ|ⲉϩⲟⲟⲩ
ⲉϩⲏⲧϥ	ⲉ|ϩⲏⲧ|ϥ	ⲉ|ϩⲏⲧϥ
ϩⲙⲡⲉⲧϩⲟⲟⲩ	ϩⲙ|ⲡ|ⲉⲧ|ϩⲟⲟⲩ	ϩⲙ|ⲡⲉⲧϩⲟⲟⲩ
ⲥⲱⲣⲙ	ⲥ|ⲱⲣⲙ	ⲥⲱⲣⲙ
ϩⲓⲡⲉⲥⲧⲁⲩⲣⲟⲥ	ϩⲓ|ⲡⲉ|ⲥⲧⲁⲩⲣⲟⲥ	ϩⲓ|ⲡⲉⲥⲧⲁⲩⲣⲟⲥ
ⲛⲟⲩϫⲁⲓ	ⲛ|ⲟⲩϫⲁⲓ	ⲛ|ⲟⲩ|ϫⲁⲓ
ⲉⲛⲧⲟϥ	ⲉⲛⲧⲟϥ	ⲉ|ⲛⲧⲟϥ
ⲛⲟⲩⲡⲛⲟⲏ	ⲛ|ⲟⲩ|ⲡⲛⲟⲏ	ⲛ|ⲟⲩ|ⲡ|ⲛⲟⲏ
ⲙⲡⲟⲩⲡⲓⲥⲧⲉⲩⲉ	ⲙⲡ|ⲟⲩ|ⲡⲓⲥⲧⲉⲩⲉ	ⲙ|ⲡ|ⲟⲩ|ⲡⲓⲥⲧⲉⲩⲉ
ⲉⲛⲉⲓⲟ	ⲉ|ⲛⲉ|ⲓ|ⲟ	ⲉ|ⲛ|ⲉⲓ|ⲟ
ⲛϣⲃⲣⲣϩⲱⲃ	ⲛ|ϣⲃⲣⲣϩⲱⲃ	ⲛ|ϣⲃⲣ|ⲣϩⲱⲃ
ⲉⲛⲉⲙⲡⲉⲡϫⲟⲉⲓⲥ	ⲉⲛⲉ|ⲙⲡⲉ|ⲡ|ϫⲟⲉⲓⲥ	ⲉ|ⲛⲉ|ⲙⲡⲉ|ⲡ|ϫⲟⲉⲓⲥ
ⲉⲥⲛⲁⲩ	ⲉ|ⲥ|ⲛⲁⲩ	ⲉ|ⲥⲛⲁⲩ
ⲛⲁⲧⲃⲱⲗ	ⲛⲁ|ⲧ|ⲃⲱⲗ	ⲛ|ⲁⲧⲃⲱⲗ
ϫⲓⲛⲛⲧⲉϩⲟⲩⲉⲓⲧⲉ	ϫⲓⲛ|ⲛ|ⲧⲉ|ϩⲟⲩⲉⲓⲧⲉ	ϫⲓⲛⲛ|ⲧⲉ|ϩⲟⲩⲉⲓⲧⲉ
ⲁⲩⲙⲟⲣⲥ	ⲁ|ⲩ|ⲙⲟⲣⲥ	ⲁ|ⲩ|ⲙⲟⲣ|ⲥ
ⲙⲛϯⲱⲧⲉ	ⲙⲛ|ϯ|ⲱⲧⲉ	ⲙⲛ|ϯⲱⲧⲉ
ⲛⲧⲁⲛ	ⲛⲧⲁ|ⲛ	ⲛ|ⲧⲁ|ⲛ
ⲉⲧⲁϩⲉⲣⲁⲧⲟⲩ	ⲉⲧ|ⲁϩⲉ|ⲣⲁⲧ|ⲟⲩ	ⲉ|ⲧⲁϩⲉ|ⲣⲁⲧ|ⲟⲩ
ⲙⲡⲉⲛϭⲙⲡϣⲓⲛⲉ	ⲙⲡⲉ|ⲛ|ϭⲙ|ⲡ|ϣⲓⲛⲉ	ⲙ|ⲡⲉⲛ|ϭⲙⲡϣⲓⲛⲉ
ⲁⲣⲓⲡⲙⲉⲉⲩⲉ	ⲁⲣⲓ|ⲡ|ⲙⲉⲉⲩⲉ	ⲁⲣ|ⲓ|ⲡ|ⲙⲉⲉⲩⲉ
ⲛⲁⲣϣⲓⲃⲉ	ⲛⲁ|ⲣϣⲓⲃⲉ	ⲛⲁ|ⲣ|ϣⲓⲃⲉ
ⲛⲟⲩϭⲥ	ⲛ|ⲟⲩϭⲥ	ⲛⲟⲩϭⲥ
ϩⲛⲛⲉⲧⲉⲛⲟⲩϥ	ϩⲛ|ⲛ|ⲉⲧⲉ|ⲛⲟⲩϥ	ϩⲛ|ⲛ|ⲉⲧⲉ|ⲛⲟⲩ|ϥ
ⲉⲧⲉⲧⲛⲧⲁϣⲉⲟⲉⲓϣ	ⲉ|ⲧⲉⲧⲛ|ⲧⲁϣⲉ|ⲟⲉⲓϣ	ⲉ|ⲧⲉⲧⲛ|ⲧⲁϣⲉⲟⲉⲓϣ
ϫⲓⲟⲩⲟⲉⲓⲛ	ϫⲓⲟⲩⲟⲉⲓⲛ	ϫⲓ|ⲟⲩⲟⲉⲓⲛ
ⲉⲛⲁⲥⲟⲟⲩ	ⲉ|ⲛⲁ|ⲥⲟⲟⲩ	ⲉ|ⲛ|ⲁ|ⲥⲟⲟⲩ
ⲙⲡⲁⲧⲉⲧⲛⲁⲓⲧⲉⲓ	ⲙⲡⲁⲧⲉⲧⲛ|ⲁⲓⲧⲉⲓ	ⲙⲡⲁⲧⲉ|ⲧⲛ|ⲁⲓⲧⲉⲓ
ⲛⲱϩⲉ	ⲛⲱϩⲉ	ⲛ|ⲱϩⲉ
ⲉⲛⲱϩⲉ	ⲉ|ⲛⲱϩⲉ	ⲉ|ⲛ|ⲱϩⲉ
ⲛⲣⲡⲙⲉⲉⲩⲉ	ⲛ|ⲣⲡⲙⲉⲉⲩⲉ	ⲛ|ⲣ|ⲡ|ⲙⲉⲉⲩⲉ
ⲛⲛⲉⲧⲛⲁⲛⲟⲩⲟⲩ	ⲛ|ⲛ|ⲉⲧ|ⲛⲁ|ⲛⲟⲩ|ⲟⲩ	ⲛ|ⲛ|ⲉⲧ|ⲛⲁⲛⲟⲩ|ⲟⲩ
