ⲁⲙⲁϩⲧⲉ	141
ⲙⲧⲟ	140
ϫⲟⲟⲩ	140
ⲧⲉⲛ	140
ⲕⲁⲛ	139
ⲗⲁⲟⲥ	139
ⲉⲛⲉ	139
ⲛⲕⲟⲧⲕ	139
ϭⲙϭⲟⲙ	137
ⲧⲁⲙⲟ	137
ⲥⲁⲣⲝ	137
ⲣⲟⲙⲡⲉ	136
ⲡⲓⲥⲧⲉⲩⲉ	136
ϩⲁⲙⲏⲛ	135
ⲉϥⲉ	135
ϣⲉ	133
ⲧⲏⲣϥ	132
ⲛⲓ	131
ϣⲡⲏⲣⲉ	131
ⲥⲙⲟⲧ	130
ⲕⲁⲕⲉ	130
ⲙⲙⲱ	129
ⲧⲁⲙⲓⲟ	129
ⲧⲁϩⲟ	129
ϩⲏⲕⲉ	127
ϣⲧⲟⲣⲧⲣ	126
ⲙⲉⲣⲓⲧ	126
ⲟⲩⲛⲧⲁ	125
ⲃⲟⲗ	125
ϩⲓⲱⲱ	125
ϯⲉⲟⲟⲩ	125
ⲛⲧⲱⲧⲛ	124
ⲗⲟ	123
ϣⲉⲉⲣⲉ	123
ϣⲁⲛⲧⲉ	122
ϭⲱⲛⲧ	122
ϩⲱⲛ	122
ϫⲡⲟ	122
ⲕⲟⲧ	120
ϩⲓⲏ	120
ⲁⲡⲉ	119
ϩⲱⲥⲧⲉ	119
ⲧⲃⲃⲟ	118
ⲉⲕⲕⲗⲏⲥⲓⲁ	118
ⲁⲅⲁⲡⲏ	117
ⲡⲉⲧⲛ	117
ϫⲉⲕⲁⲁⲥ	117
ⲉⲕϣⲁⲛ	117
ⲙⲉϩ	116
ϩⲧⲏ	116
ϫⲛⲟⲩ	116
ϫⲓⲥⲉ	116
ⲧⲣ	114
ϫⲁϫⲉ	114
ⲛⲉⲣⲉ	114
ⲇⲓⲕⲁⲓⲟⲥ	114
◈	114
ⲙⲛⲛⲥⲱ	113
ⲥⲱⲟⲩϩ	113
ⲃⲱⲗ	112
ⲉϣ	112
ϩⲓϫⲱ	111
ϩⲏⲏⲧⲉ	111
ⲥϩⲁⲓ	110
ⲁⲣⲓ	110
:—	109
ⲟⲩⲏϩ	108
ⲙⲙⲁⲧⲉ	108
ϩⲁⲡ	108
ⲛⲟⲩ	107
ⲧⲉⲥ	107
ⲟⲩⲟⲓ	106
ⲡⲓⲥⲧⲓⲥ	106
ⲙⲁⲕⲁⲣⲓⲟⲥ	106
ⲁⲛⲅ	105
ϩⲟⲓⲛⲉ	105
ⲣϩⲱⲃ	105
ⲣⲟⲉⲓⲥ	105
ⲟⲩⲱϩ	105
ⲥⲧⲁⲩⲣⲟⲥ	104
ⲣⲟ	104
ⲥⲱ	103
ⲟⲩⲱⲛ	103
ⲡⲁⲣⲑⲉⲛⲟⲥ	103
ⲧⲁⲡⲣⲟ	102
ⲥⲛⲟϥ	101
ⲛⲉⲥ	101
ⲙⲙⲟⲛ	100
ⲧⲟⲟⲧ	100
ⲙⲁⲣⲓⲁ	100
ⲣⲟⲟⲩϣ	99
ⲧⲟⲧⲉ	99
ⲩϣⲏ	98
ⲕⲁⲓ	98
ⲟⲩⲱ	97
ⲙⲟⲥⲧⲉ	97
ⲡⲟⲩ	97
ⲙⲓϣⲉ	97
ⲡⲁϩⲧ	97
