YA518-520	ⲡⲁⲓ ⲉⲧ ⲙⲙⲁⲩ ⲉⲧⲉ ⲓⲥⲙⲁⲏⲗ ⲡⲉ	person	Ishmael
Ruth_04	ⲛⲟⲉⲙⲓⲛ ⲧ ⲉⲛⲧ ⲁ ⲥ ⲕⲧⲟ ⲥ ⲉⲃⲟⲗ ϩⲛ ⲧ ⲥⲱϣⲉ ⲙ ⲙⲱⲁⲃ	person	Naomi (biblical figure)
1Cor_04	ⲧⲓⲙⲟⲑⲉⲟⲥ ⲛⲏ ⲧⲛ ⲉⲧⲉ ⲡⲁⲓ ⲡⲉ ⲡⲁ ϣⲏⲣⲉ ⲙ ⲙⲉⲣⲓⲧ ⲁⲩⲱ ⲙ ⲡⲓⲥⲧⲟⲥ ϩⲙ ⲡ ϫⲟⲉⲓⲥ ⲡⲁⲓ ⲉⲧ ⲛⲁ ⲧⲣⲉ ⲧⲛ ⲣ ⲡ ⲙⲉⲉⲩⲉ ⲛ ⲛⲁ ϩⲓⲟⲟⲩⲉ ⲉⲧ ϩⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲛ ⲧ ϩⲉ ⲉ ϯ ϯⲥⲃⲱ ⲙⲙⲟ ⲥ ϩⲛ ⲛ ⲉⲕⲕⲗⲏⲥⲓⲁ ⲧⲏⲣ ⲟⲩ ϩⲙ ⲙⲁ ⲛⲓⲙ	person	Saint Timothy
Mark_09	ⲓⲏⲥⲟⲩⲥ ⲙⲁⲩⲁⲁ ϥ	person	Jesus
martyrdom.victor.01	ⲡ ⲉⲃⲟⲧ ⲫⲁⲣⲙⲟⲩⲧⲉ	time	Parmouti
life.cyrus.01	ⲑⲉⲟⲇⲱⲥⲓⲟⲥ ⲡ ⲣⲣⲟ	person	Theodosius I
martyrdom.victor.01	ⲧ ⲁⲣⲧⲉⲙⲓⲥ	person	Artemis
a22.YA421-428	ⲡ ⲁⲧⲛⲟⲩⲧⲉ ⲛ ⲇⲓⲁⲃⲟⲗⲟⲥ	person	Devil
Mark_06	ϩⲏⲗⲉⲓⲁⲥ	person	Elijah
Mark_08	ϩⲏⲗⲉⲓⲁⲥ	person	Elijah
Mark_06	ⲓⲁⲕⲱⲃⲟⲥ	person	James, brother of Jesus
dormition.john.mercad	ⲡ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲡⲁⲓ ⲛⲧ ⲁ ⲩ ⲟⲩⲉⲛϩ ⲡⲉϥ ⲣⲁⲛ ⲉⲃⲟⲗ ϩⲓⲧⲙ ⲡ ⲉⲓⲱⲧ	person	Jesus
life.onnophrius.01	ⲓⲱϩⲁⲛⲛⲏⲥ ⲡ ⲃⲁⲡϯⲥⲧⲏⲥ · ⲡ ⲉⲧⲉ ⲙⲡ ϥ ⲧⲱⲟⲩⲛ ϩⲙ ⲡⲉ ϫⲡⲟ ⲛ ⲛⲉ ϩⲓⲟⲟⲙⲉ · ⲛϭⲓ ⲡ ⲉⲧ ⲟ ⲛ ⲛⲟϭ ⲉⲣⲟ ϥ	person	John the Baptist
proclus.13.easter	ⲛⲉⲥⲧⲟⲣⲓⲟⲥ ⲡ ϩⲁⲓⲣⲉⲧⲓⲕⲟⲥ	person	Nestorius
proclus.13.easter	ⲡⲣⲟⲕⲗⲟⲥ ⲡ ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲩ	person	Proclus of Constantinople
